"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Martinez","Cardinals","55","170","3","21","21","1","7.6 %","19.4 %",".110",".367",".303",".359",".413",".335","108","-0.3","1.5","-4.6","0.2","7996"
"Eric Thames","Brewers","53","142","6","22","21","1","15.5 %","34.5 %",".188",".349",".239",".366",".427",".343","111","0.3","2.3","-4.5","0.2","3711"
"Kurt Suzuki","Nationals","31","109","5","12","19","0","4.6 %","17.4 %",".188",".282",".267",".312",".455",".325","98","-1.1","-1.4","0.1","0.2","8259"
"Jason Kipnis","Indians","38","164","2","11","12","4","8.5 %","17.7 %",".108",".274",".230",".296",".338",".279","67","1.4","-5.4","1.7","0.2","9776"
"Nomar Mazara","Rangers","49","207","8","31","28","1","5.3 %","18.8 %",".199",".297",".267",".319",".466",".330","98","-1.1","-1.5","-3.8","0.2","14553"
"Martin Maldonado","Royals","44","157","2","13","6","0","9.6 %","19.7 %",".073",".260",".212",".308",".285",".271","64","-1.2","-8.2","4.5","0.2","6887"
"Steve Wilkerson","Orioles","33","119","5","14","14","1","5.0 %","31.1 %",".188",".329",".250",".294",".438",".310","92","0.0","-1.2","-1.2","0.2","16041"
"Yadier Molina","Cardinals","50","201","4","18","33","4","3.5 %","8.5 %",".132",".269",".265",".294",".397",".293","81","-1.9","-6.8","2.1","0.2","7007"
"Amed Rosario","Mets","53","225","6","21","29","5","6.2 %","24.4 %",".167",".322",".257",".304",".424",".308","94","0.0","-1.7","-3.8","0.2","15518"
"Billy Hamilton","Royals","47","165","0","24","5","11","10.3 %","23.6 %",".055",".308",".228",".307",".283",".266","61","2.2","-5.9","1.7","0.2","10199"
"Ian Desmond","Rockies","50","179","6","25","22","0","9.5 %","27.4 %",".219",".311",".244",".318",".463",".330","88","-0.6","-3.3","-0.8","0.2","6885"
"Gerardo Parra","- - -","42","135","3","15","15","4","8.1 %","17.8 %",".124",".263",".231",".304",".355",".282","73","0.9","-3.8","0.9","0.1","8553"
"Jason Heyward","Cubs","50","208","8","25","20","4","13.9 %","16.8 %",".170",".252",".239",".346",".409",".323","99","-1.0","-1.4","-3.9","0.1","4940"
"Domingo Santana","Mariners","55","244","10","27","42","5","8.2 %","28.3 %",".205",".352",".273",".337",".477",".345","121","-1.2","5.2","-12.6","0.1","10348"
"Jose Ramirez","Indians","55","236","4","20","17","14","12.3 %","15.3 %",".108",".236",".211",".314",".319",".279","67","2.4","-7.3","0.2","0.1","13510"
